wavl,"AS(5.00,0.00)","AS(4.00,0.00)","AS(2.80,0.00)","S(2.80,0.00)","AS(0.00,2.00)","S(0.00,2.00)"
1.5515151515151515,-574.2669451421862,-574.2669451421862,-560.2357250743789,-560.2357250743789,-560.2357250743789,-560.2357250743789
1.5517171717171718,-574.1314743934545,-574.1314743934545,-558.2576163570866,-558.2576163570866,-558.2576163570866,-558.2576163570866
1.551919191919192,-573.9960443167674,-573.9960443167674,-556.2845366466499,-556.2845366466499,-556.2845366466499,-556.2845366466499
1.5521212121212122,-573.8606547581658,-573.8606547581658,-554.3159663376609,-554.3159663376609,-554.3159663376609,-554.3159663376609
1.5523232323232323,-573.7253055636993,-573.7253055636993,-552.3513858246988,-552.3513858246988,-552.3513858246988,-552.3513858246988
1.5525252525252526,-573.5899965794015,-573.5899965794015,-550.3902755023555,-550.3902755023555,-550.3902755023555,-550.3902755023555
1.5527272727272727,-573.4547276513167,-573.4547276513167,-548.4321157652103,-548.4321157652103,-548.4321157652103,-548.4321157652103
1.552929292929293,-573.319498625493,-573.319498625493,-546.4763870078568,-546.4763870078568,-546.4763870078568,-546.4763870078568
1.5531313131313131,-573.1843093479638,-573.1843093479638,-544.5225696248763,-544.5225696248763,-544.5225696248763,-544.5225696248763
1.5533333333333337,-573.0491596647826,-573.0491596647826,-542.5701440108569,-542.5701440108569,-542.5701440108569,-542.5701440108569
1.5535353535353535,-572.9140494219864,-572.9140494219864,-540.6185905603852,-540.6185905603852,-540.6185905603852,-540.6185905603852
1.553737373737374,-572.7789784656197,-572.7789784656197,-538.6673896680459,-538.6673896680459,-538.6673896680459,-538.6673896680459
1.553939393939394,-572.643946641725,-572.643946641725,-536.7160217284236,-536.7160217284236,-536.7160217284236,-536.7160217284236
1.5541414141414145,-572.5089537963449,-572.5089537963449,-534.7639671361103,-534.7639671361103,-534.7639671361103,-534.7639671361103
1.5543434343434344,-572.373999775522,-572.373999775522,-532.8107062856852,-532.8107062856852,-532.8107062856852,-532.8107062856852
1.554545454545455,-572.2390844253023,-572.2390844253023,-530.8557195717349,-530.8557195717349,-530.8557195717349,-530.8557195717349
1.5547474747474748,-572.1042075917267,-572.1042075917267,-528.898487388853,-528.898487388853,-528.898487388853,-528.898487388853
1.554949494949495,-571.9693691208358,-571.9693691208358,-526.9384901316225,-526.9384901316225,-526.9384901316225,-526.9384901316225
1.5551515151515152,-571.8345688586724,-571.8345688586724,-524.9752081946262,-524.9752081946262,-524.9752081946262,-524.9752081946262
1.5553535353535357,-571.6998066512824,-571.6998066512824,-523.0081219724507,-523.0081219724507,-523.0081219724507,-523.0081219724507
1.5555555555555556,-571.5650823447104,-571.5650823447104,-521.036711859686,-521.036711859686,-521.036711859686,-521.036711859686
1.555757575757576,-571.4303957849897,-571.4303957849897,-519.0604582509241,-519.0604582509241,-519.0604582509241,-519.0604582509241
1.555959595959596,-571.2957468181721,-571.2957468181721,-517.0788415407314,-517.0788415407314,-517.0788415407314,-517.0788415407314
1.5561616161616163,-571.1611352902946,-571.1611352902946,-515.0913421237128,-515.0913421237128,-515.0913421237128,-515.0913421237128
1.5563636363636364,-571.0265610474071,-571.0265610474071,-513.0974403944456,-513.0974403944456,-513.0974403944456,-513.0974403944456
1.5565656565656567,-570.8920239355466,-570.8920239355466,-511.0966167475199,-511.0966167475199,-511.0966167475199,-511.0966167475199
1.5567676767676768,-570.7575238007557,-570.7575238007557,-509.0883515775204,-509.0883515775204,-509.0883515775204,-509.08835157752037
1.5569696969696971,-570.6230604890825,-570.6230604890825,-507.07212527903175,-507.07212527903175,-507.07212527903175,-507.07212527903175
1.5571717171717172,-570.4886338465658,-570.4886338465658,-505.0474182466387,-505.0474182466387,-505.0474182466387,-505.0474182466387
1.5573737373737375,-570.35424371925,-570.35424371925,-503.0137108749368,-503.0137108749368,-503.0137108749368,-503.0137108749368
1.5575757575757576,-570.2198899531759,-570.2198899531759,-500.9704835585035,-500.9704835585035,-500.9704835585035,-500.9704835585035
1.557777777777778,-570.0855723943896,-570.0855723943896,-498.9172166919252,-498.9172166919252,-498.9172166919252,-498.9172166919252
1.557979797979798,-569.9512908889355,-569.9512908889355,-496.8533906697903,-496.8533906697903,-496.8533906697903,-496.8533906697903
1.5581818181818183,-569.817045282849,-569.817045282849,-494.7784858866853,-494.7784858866853,-494.7784858866853,-494.7784858866853
1.5583838383838384,-569.6828354221761,-569.6828354221761,-492.6919827371985,-492.6919827371985,-492.6919827371985,-492.6919827371985
1.5585858585858587,-569.5486611529632,-569.5486611529632,-490.5933616159127,-490.5933616159127,-490.5933616159127,-490.5933616159127
1.5587878787878788,-569.414522321249,-569.414522321249,-488.4821029174073,-488.4821029174073,-488.4821029174073,-488.48210291740725
1.5589898989898991,-569.2804187730799,-569.2804187730799,-486.35768703628855,-486.35768703628855,-486.35768703628855,-486.35768703628855
1.5591919191919192,-569.1463503544928,-569.1463503544928,-484.2195943671195,-484.2195943671195,-484.2195943671195,-484.2195943671195
1.5593939393939396,-569.0123169115377,-569.0123169115377,-482.0673053044975,-482.0673053044975,-482.0673053044975,-482.0673053044975
1.5595959595959596,-568.8783182902498,-568.8783182902498,-479.9003002430145,-479.9003002430145,-479.9003002430145,-479.9003002430145
