wavl,"AS(0.00,0.50)","AS(0.00,0.70)","AS(0.00,0.90)","AS(0.00,1.10)","AS(0.00,1.30)","AS(0.00,1.50)"
1.4889447236180904,-618.9523232193715,-618.9523232193715,-618.9523232193715,-618.9523232193715,-618.9523232193715,-618.9523232193715
1.4904522613065323,-617.7942354998795,-617.7942354998795,-617.7942354998795,-617.7942354998795,-617.7942354998795,-617.7942354998795
1.4919597989949749,-616.6410125895436,-616.6410125895436,-616.6410125895436,-616.6410125895436,-616.6410125895436,-616.6410125895436
1.493467336683417,-615.4925905119308,-615.4925905119308,-615.4925905119308,-615.4925905119308,-615.4925905119308,-615.4925905119308
1.4949748743718592,-614.3489052906007,-614.3489052906007,-614.3489052906007,-614.3489052906007,-614.3489052906007,-614.3489052906007
1.4964824120603015,-613.2098929491258,-613.2098929491258,-613.2098929491258,-613.2098929491258,-613.2098929491258,-613.2098929491258
1.4979899497487437,-612.0754895110767,-612.0754895110767,-612.0754895110767,-612.0754895110767,-612.0754895110767,-612.0754895110767
1.4994974874371858,-610.9456310000114,-610.9456310000114,-610.9456310000114,-610.9456310000114,-610.9456310000114,-610.9456310000114
1.501005025125628,-609.8202534395023,-609.8202534395023,-609.8202534395023,-609.8202534395023,-609.8202534395023,-609.8202534395023
1.5025125628140703,-608.6992928531236,-608.6992928531236,-608.6992928531236,-608.6992928531236,-608.6992928531236,-608.6992928531236
1.5040201005025124,-607.5826852644259,-607.5826852644259,-607.5826852644259,-607.5826852644259,-607.5826852644259,-607.5826852644259
1.5055276381909546,-606.4703666969872,-606.4703666969872,-606.4703666969872,-606.4703666969872,-606.4703666969872,-606.4703666969872
1.507035175879397,-605.3622731743799,-605.3622731743799,-605.3622731743799,-605.3622731743799,-605.3622731743799,-605.3622731743799
1.508542713567839,-604.2583407201564,-604.2583407201564,-604.2583407201564,-604.2583407201564,-604.2583407201564,-604.2583407201564
1.5100502512562812,-603.1585053578892,-603.1585053578892,-603.1585053578892,-603.1585053578892,-603.1585053578892,-603.1585053578892
1.5115577889447236,-602.0627031111562,-602.0627031111562,-602.0627031111562,-602.0627031111562,-602.0627031111562,-602.0627031111562
1.5130653266331655,-600.970870003508,-600.970870003508,-600.970870003508,-600.970870003508,-600.970870003508,-600.970870003508
1.514572864321608,-599.8829420585207,-599.8829420585207,-599.8829420585207,-599.8829420585207,-599.8829420585207,-599.8829420585207
1.5160804020100502,-598.7988552997649,-598.7988552997649,-598.7988552997649,-598.7988552997649,-598.7988552997649,-598.7988552997649
1.5175879396984924,-597.7185457507985,-597.7185457507985,-597.7185457507985,-597.7185457507985,-597.7185457507985,-597.7185457507985
1.5190954773869343,-596.6419494351903,-596.6419494351903,-596.6419494351903,-596.6419494351903,-596.6419494351903,-596.6419494351903
1.5206030150753769,-595.5690023765164,-595.5690023765164,-595.5690023765164,-595.5690023765164,-595.5690023765164,-595.5690023765164
1.522110552763819,-594.4996405983329,-594.4996405983329,-594.4996405983329,-594.4996405983329,-594.4996405983329,-594.4996405983329
1.5236180904522612,-593.4338001242104,-593.4338001242104,-593.4338001242104,-593.4338001242104,-593.4338001242104,-593.4338001242104
1.5251256281407035,-592.3714169777231,-592.3714169777231,-592.3714169777231,-592.3714169777231,-592.3714169777231,-592.3714169777231
1.5266331658291457,-591.3124271824254,-591.3124271824254,-591.3124271824254,-591.3124271824254,-591.3124271824254,-591.3124271824254
1.5281407035175878,-590.2567667618914,-590.2567667618914,-590.2567667618914,-590.2567667618914,-590.2567667618914,-590.2567667618914
1.5296482412060302,-589.2043717396937,-589.2043717396937,-589.2043717396937,-589.2043717396937,-589.2043717396937,-589.2043717396937
1.5311557788944723,-588.1551781393846,-588.1551781393846,-588.1551781393846,-588.1551781393846,-588.1551781393846,-588.1551781393846
1.5326633165829144,-587.1091219845439,-587.1091219845439,-587.1091219845439,-587.1091219845439,-587.1091219845439,-587.1091219845439
1.5341708542713568,-586.0661392987386,-586.0661392987386,-586.0661392987386,-586.0661392987386,-586.0661392987386,-586.0661392987386
1.535678391959799,-585.0261661055247,-585.0261661055247,-585.0261661055247,-585.0261661055247,-585.0261661055247,-585.0261661055247
1.537185929648241,-583.9891384284783,-583.9891384284783,-583.9891384284783,-583.9891384284783,-583.9891384284783,-583.9891384284783
1.5386934673366834,-582.9549922911701,-582.9549922911701,-582.9549922911701,-582.9549922911701,-582.9549922911701,-582.9549922911701
1.5402010050251256,-581.9236637171562,-581.9236637171562,-581.9236637171562,-581.9236637171562,-581.9236637171562,-581.9236637171562
