wavl,"AS(0.00,0.50)","AS(0.00,0.70)","AS(0.00,0.90)","AS(0.00,1.10)","AS(0.00,1.30)","AS(0.00,1.50)"
1.5567839195979898,-962.2947260911384,-1007.0218840207684,-951.3372148026824,-864.5619386942037,-777.3751086387965,-702.1462658384553
1.558291457286432,-963.7009425908906,-1006.1883826272672,-949.1890540112169,-861.9283652441836,-774.5914830501112,-699.3822045566664
1.5597989949748745,-963.103797920715,-1004.9731813486272,-947.8383488335274,-860.6226805482194,-773.347698968624,-698.1835475229325
1.5613065326633164,-958.6672384783228,-1003.0311171183008,-948.0210739254,-861.8657669390561,-775.0574380912013,-699.9861385066957
1.5628140703517588,-951.5692846693144,-1000.5835364680376,-949.2648434982272,-864.8740944539337,-778.8134636395196,-703.8685255712028
1.564321608040201,-943.8697385519864,-998.0175210212248,-950.7437601939298,-868.2777328182397,-783.0295431482035,-708.2196187645101
1.565829145728643,-936.1287706665788,-995.4382894851528,-952.2331379303212,-871.7040330796742,-787.2742009185521,-712.6011841230259
1.5673366834170854,-928.3505658029889,-992.8463400197836,-953.730839788022,-875.149711161007,-791.5437287827438,-717.0095052382599
1.5688442211055276,-921.0296886649694,-990.3026161000416,-954.9879048927378,-878.231319594698,-795.405485372044,-721.0117355449106
1.5703517587939697,-915.658548447441,-987.991178362166,-955.2533161464362,-879.79204491512,-797.5542141946972,-723.301990811196
1.571859296482412,-912.8783188205392,-985.9910593281562,-954.2043476844292,-879.3348122880207,-797.4290642691924,-723.319152781074
1.5733668341708542,-911.3328370292955,-984.1348539152248,-952.5232149266564,-877.9105556969869,-796.21585555089,-722.2496198916808
1.5748743718592964,-909.9046226796648,-982.2846063858868,-950.7720424365212,-876.3852215658558,-794.8916802469346,-721.0709617646817
1.5763819095477387,-908.4723102742128,-980.4252647856044,-949.0117688306086,-874.8527308034629,-793.5625279533647,-719.8892236112846
1.5778894472361809,-907.0252172450244,-978.5567398740976,-947.2495133582024,-873.3231497152362,-792.2393995685414,-718.7152179000122
1.579396984924623,-905.3935580042424,-976.6789046460802,-945.6004902119532,-871.9587839659714,-791.0994827455496,-717.7230537765666
1.5809045226130651,-903.304858377338,-974.791607759612,-944.2496804263884,-871.020197790571,-790.4272256585916,-717.192235587653
1.5824120603015075,-900.8000633246486,-972.8947721908464,-943.1691273423456,-870.4680571214072,-790.1797030230574,-717.0805874377476
1.5839195979899496,-898.1555655489303,-970.9883767348732,-942.1709106555704,-870.037737429228,-790.0680591349046,-717.104279858108
1.5854271356783918,-895.4965840997422,-969.0723643388887,-941.1698177576666,-869.6092661953041,-789.9613425765505,-717.1346416169764
1.586934673366834,-892.8261798603164,-967.1466489763944,-940.1636304970268,-869.1795591091673,-789.8561988373212,-717.1683794356671
1.5884422110552765,-890.0957941169128,-965.1908596962456,-939.1549207314546,-868.7635527892671,-789.7743310663711,-717.2302719445577
1.5899497487437184,-887.0418062417618,-963.0946256338112,-938.1580207726704,-868.4427728182943,-789.8340281021522,-717.4553113536215
1.5914572864321608,-883.4363011067978,-960.7625181074804,-937.1853103909629,-868.2876893930647,-790.1375432024756,-717.9601917303106
1.592964824120603,-879.4798490741737,-958.2784226147188,-936.2257380454728,-868.2361020636791,-790.5946940241286,-718.6420195679668
1.594472361809045,-875.4449774965665,-955.7563374632882,-935.2643172867504,-868.2035305795421,-791.082981906346,-719.3610253341949
1.5959798994974874,-871.3907851837492,-953.2209446051504,-934.29773280168,-868.1715779002692,-791.5757603243704,-720.0868160036986
1.5974874371859296,-867.3322149018511,-950.677290602536,-933.3232415828844,-868.1335896987496,-792.0644677301102,-720.810177075586
1.5989949748743717,-864.1885868836478,-948.4393397311763,-932.1778830711258,-867.6869086078616,-792.0294256301463,-720.9712345259314
1.600502512562814,-864.2602639559666,-947.2927937336892,-930.4540346193932,-865.8241555285813,-790.1704474204466,-719.1692220521835
1.6020100502512562,-868.1739868911927,-947.4516774130884,-928.040568359704,-862.2707858459846,-786.1332084197096,-715.022412054813
1.6035175879396983,-873.7623982444801,-948.1756055477688,-925.3213519767936,-857.9757160855761,-781.1424926798763,-709.8503536903659
1.6050251256281407,-879.5068663905448,-948.945785113126,-922.5653264959236,-853.6038030559534,-776.0564512728728,-704.5775985161639
1.6065326633165828,-885.2868246104192,-949.720975094187,-919.7937552024508,-849.2077281776892,-770.9431068001825,-699.2774412032859
1.608040201005025,-890.8567677634472,-950.4238540680894,-917.059663991268,-844.904864445595,-765.9504069953169,-694.1074818354599
1.6095477386934671,-893.4300779993318,-950.1773787682134,-914.9659186696867,-842.0286131116411,-762.758846671428,-690.8577703405249
1.6110552763819097,-889.1903707507934,-947.7804246949132,-914.3382035097663,-842.4051616560921,-763.6699737367342,-691.9798946040214
1.6125628140703516,-879.3614279450748,-943.6180745405134,-914.9116235385222,-845.4487680223324,-767.9456077080343,-696.6875621055392
