wavl,Symmetric 2,Anti-Symmetric 2,Symmetric N,Anti-Symmetric N
1.5452452452452500,-568.5474657074730,-589.886909483079,-557.8777438771660,-600.5566314283770
1.5453453453453500,-568.4038098406880,-589.8948294358010,-557.6582999281400,-600.6403391183670
1.5454454454454500,-568.2601392194310,-589.9027872121690,-557.4388151080540,-600.7241110935300
1.5455455455455500,-568.1164546292320,-589.9107819893840,-557.2192910066500,-600.8079457269560
1.5456456456456500,-567.9727562794890,-589.9188129456710,-556.9997280614240,-600.8918413937900
1.5457457457457500,-567.829042882654,-589.9268812160270,-556.7801237159670,-600.9758003827140
1.545845845845850,-567.6853140728020,-589.9349875891440,-556.5604772571180,-601.0598242898010
1.545945945945950,-567.5415716712030,-589.9431303214020,-556.3407923461040,-601.1439096465020
1.5460460460460500,-567.3978148507420,-589.9513098574530,-556.1210673473870,-601.228057360808
1.546146146146150,-567.254042783977,-589.9595271023800,-555.9013006247760,-601.3122692615810
1.5462462462462500,-567.1102566030100,-589.9677807715700,-555.6814944611610,-601.3965427982820
1.5463463463463500,-566.9664555950960,-589.9760718857860,-555.4616474497500,-601.4808800311310
1.5464464464464500,-566.8226397388600,-589.9844001987610,-555.2417595664770,-601.565280486279
1.5465465465465500,-566.6788099357730,-589.992764541359,-555.0218326329800,-601.6497418441520
1.5466466466466500,-566.5349647820670,-590.0011666253880,-554.8018638604060,-601.7342675470490
1.5467467467467500,-566.391104256612,-590.0096063194530,-554.5818532251920,-601.818857350873
1.5468468468468500,-566.2472302980680,-590.0180816475180,-554.361804623343,-601.9035073222430
1.546946946946950,-566.103341271953,-590.0265943219310,-554.1417148045870,-601.9882209045420
1.547047047047050,-565.9594365804930,-590.0351445573490,-553.9215825920660,-602.0729985457760
1.5471471471471500,-565.8155181632770,-590.0437306072900,-553.7014118836470,-602.1578367716750
1.5472472472472500,-565.6715845002950,-590.0523541848630,-553.4811996580120,-602.2427390271460
1.5473473473473500,-565.5276356857060,-590.061014697494,-553.2609461221530,-602.3277041457290
1.5474474474474500,-565.3836729674330,-590.0697113210780,-553.0406537906100,-602.4127304979000
1.5475475475475500,-565.2396947098950,-590.0784454231610,-552.8203194109220,-602.497820837452
