,len_prop,100,200,300,400,500,600,700
67,435.0,0.0117481398839912,0.0157243430551303,0.0199938288730085,0.0237181688113375,0.0266339799773605,0.0299644799849132,0.0350538733618836
68,440.0,0.01219384852034,0.0162604826364054,0.0206169663918907,0.0244096120999165,0.0273682689709273,0.0307397494895962,0.0358974654890527
69,445.0,0.01265171810403,0.0168099149182505,0.0212543511325066,0.0251159692335969,0.0281177566054168,0.0315303552533831,0.0367567325801799
70,450.0,0.0131219399072676,0.0173728291686117,0.021906167946848,0.0258374181886306,0.0288826139387798,0.032336464064624,0.0376318401946101
71,455.0,0.0136047053876459,0.0179494139749862,0.0225725994908082,0.0265741343239332,0.0296630115136526,0.0331582450565481,0.0385229575782306
72,460.0,0.0141002059122598,0.0185398567637008,0.0232538263140949,0.0273262918196597,0.0304591214528616,0.0339958706783662,0.0394302558620376
73,465.0,0.0146086325263211,0.0191443436976242,0.023950027649195,0.0280940653865676,0.0312711186319392,0.034849515953586,0.040353905050577
74,470.0,0.0151301758473842,0.0197630599897037,0.0246613825659769,0.0288776315064219,0.0320991803883918,0.0357193562826334,0.0412940710357308
75,475.0,0.0156650261152598,0.020396190492233,0.0253880709912383,0.0296771686443877,0.0329434848340816,0.0366055646703608,0.0422509138877501
76,480.0,0.0162133733619875,0.0210439202997307,0.02613027413554,0.0304928562953026,0.0338042084335562,0.0375083095248003,0.0432245881615151
77,485.0,0.01677540761478,0.021706435090561,0.0268881741104902,0.0313248732196997,0.0346815238419916,0.0384277539602184,0.0442152451144235
78,490.0,0.0173513190266586,0.0223839210338551,0.027661952856389,0.0321733955793815,0.0355755989094691,0.0393640569173995,0.0452230359187089
79,495.0,0.0179412978574341,0.0230765642685075,0.0284517907976423,0.0330385957424091,0.0364865972853509,0.0403173756495707,0.0462481145062193
80,500.0,0.0185455342885278,0.0237845501438083,0.0292578657713576,0.033920642265964,0.0374146803879902,0.0412878685318363,0.0472906388120688
81,505.0,0.0191642181252367,0.024508062517321,0.030080352672317,0.0348197010745076,0.0383600099173102,0.0422756969886904,0.0483507698349317
82,510.0,0.0197975384891674,0.0252472833916108,0.0309194239667929,0.0357359373467886,0.039322749838634,0.0432810256827496,0.0494286688487683
