wavl,2,N
1.594472361809050,-8208.607391636110,-8480.937513654650
1.5959798994974900,-8367.407490890020,-8649.821247275940
1.5974874371859300,-8526.471940182970,-8818.966916889910
1.5989949748743700,-8682.648495043020,-8982.070008606100
1.600502512562810,-8828.049789308250,-9123.355805456870
1.6020100502512600,-8960.526687034630,-9238.52604939481
1.6035175879397000,-9087.51001595766,-9342.442365960200
1.6050251256281400,-9214.206317500630,-9445.517853803040
1.6065326633165800,-9341.02870309924,-9548.578740272310
1.608040201005030,-9468.852615998130,-9653.375904841290
1.6095477386934700,-9607.61738700107,-9779.788015839460
1.6110552763819100,-9770.935447778130,-9955.039919926950
1.6125628140703500,-9954.441420806590,-10170.400871660600
1.614070351758790,-10143.888614277100,-10397.37750831290
1.615577889447240,-10333.875526322000,-10625.166796317400
1.6170854271356800,-10524.332967181900,-10853.630355957100
1.6185929648241200,-10713.17240532340,-11078.59115334700
1.6201005025125600,-10891.432704351800,-11282.126893590100
1.621608040201010,-11052.864991680000,-11451.739820695400
1.6231155778894500,-11204.915517215900,-11602.32246272830
1.6246231155778900,-11355.80685925110,-11750.319968410100
1.6261306532663300,-11506.939389127100,-11898.533061253300
1.627638190954770,-11658.34403903270,-12047.023623005100
1.629145728643220,-11811.051872894300,-12197.853781501400
1.6306532663316600,-11967.231749012700,-12355.361242933600
1.6321608040201000,-12127.134749672500,-12520.048187304700
1.6336683417085400,-12288.655877090900,-12687.70460815490
1.6351758793969800,-12450.538359856400,-12855.81695311800
1.6366834170854300,-12612.712749990800,-13024.246352325000
1.6381909547738700,-12775.270459132400,-13193.175619621500
1.6396984924623100,-12938.980081994400,-13364.141915343200
1.6412060301507500,-13104.73649941650,-13538.935033205100
1.642713567839200,-13272.087128053900,-13716.649819338200
1.644221105527640,-13440.059100539600,-13895.340497095000
1.6457286432160800,-13608.348410293500,-14074.399073908500
1.6472361809045200,-13776.948353756400,-14253.81215932010
1.6487437185929600,-13944.039288107700,-14429.9404378241
1.650251256281410,-14103.34317973260,-14590.227856518800
1.6517587939698500,-14251.500111388100,-14727.954588606400
1.6532663316582900,-14394.048357894400,-14854.19716548970
1.6547738693467300,-14536.091332112300,-14979.162431686200
1.6562814070351800,-14678.297860632800,-15104.18803210180
1.657788944723620,-14820.977157649600,-15229.892379143800
1.6592964824120600,-14970.56649847680,-15369.150053668400
1.6608040201005000,-15138.555766579000,-15544.940808459500
1.662311557788950,-15324.452470167500,-15756.279644502300
1.6638190954773900,-15516.798532627600,-15980.250440362800
1.665326633165830,-15709.782789938400,-16205.230850184400
1.666834170854270,-15903.197905301500,-16430.80618328220
1.6683417085427100,-16095.53816140620,-16653.965037572800
1.6698492462311600,-16277.126794723700,-16855.35387413570
1.671356783919600,-16438.483390695700,-17016.01184827450
1.67286432160804,-16586.407259140300,-17149.537601017500
1.6743718592964800,-16731.748456634500,-17277.631235650300
1.6758793969849200,-16877.250184231800,-17405.77914924750
1.6773869346733700,-17022.975935005600,-17534.108344931500
1.6788944723618100,-17175.3587727578,-17675.484937284200
1.6804020100502500,-17352.597484502600,-17866.306495416700
1.6819095477386900,-17561.544870212400,-18120.278634173200
1.6834170854271400,-17785.435362778500,-18403.870209805500
1.684924623115580,-18011.193857593800,-18690.93100568580
1.68643216080402,-18237.536626080700,-18978.89358502830
1.6879396984924600,-18461.998177074600,-19262.82695662630
1.6894472361809000,-18649.60259261170,-19472.77926994450
1.690954773869350,-18747.118199867600,-19502.287205334800
1.6924623115577900,-18765.555470191500,-19373.371686929100
1.6939698492462300,-18759.507585052800,-19195.21906520200
1.695477386934670,-18752.314291477100,-19014.508874611900
1.6969849246231200,-18744.453339998200,-18832.196595138400
