wavl,"AS(2.50,0.00)","AS(2.60,0.00)","AS(2.70,0.00)","AS(2.80,0.00)","AS(2.90,0.00)","AS(3.00,0.00)","AS(3.10,0.00)","AS(3.20,0.00)","AS(3.30,0.00)","AS(3.40,0.00)","AS(3.50,0.00)"
1.5152805611222444,-599.3735551350474,-599.3735551350474,-599.3735551350474,-599.3735551350474,-599.3735551350474,-599.3735551350474,-599.3735551350474,-599.3735551350474,-599.3735551350474,-599.3735551350474,-599.3735551350474
1.5154609218436872,-599.2438694223965,-599.2438694223965,-599.2438694223965,-599.2438694223965,-599.2438694223965,-599.2438694223965,-599.2438694223965,-599.2438694223965,-599.2438694223965,-599.2438694223965,-599.2438694223965
1.5156412825651302,-599.1142381513382,-599.1142381513382,-599.1142381513382,-599.1142381513382,-599.1142381513382,-599.1142381513382,-599.1142381513382,-599.1142381513382,-599.1142381513382,-599.1142381513382,-599.1142381513382
1.515821643286573,-598.9846612123238,-598.9846612123238,-598.9846612123238,-598.9846612123238,-598.9846612123238,-598.9846612123238,-598.9846612123238,-598.9846612123238,-598.9846612123238,-598.9846612123238,-598.9846612123238
1.516002004008016,-598.8551384958027,-598.8551384958027,-598.8551384958027,-598.8551384958027,-598.8551384958027,-598.8551384958027,-598.8551384958027,-598.8551384958027,-598.8551384958027,-598.8551384958027,-598.8551384958027
1.5161823647294588,-598.7256698922047,-598.7256698922047,-598.7256698922047,-598.7256698922047,-598.7256698922047,-598.7256698922047,-598.7256698922047,-598.7256698922047,-598.7256698922047,-598.7256698922047,-598.7256698922047
1.5163627254509018,-598.5962552919809,-598.5962552919809,-598.5962552919809,-598.5962552919809,-598.5962552919809,-598.5962552919809,-598.5962552919809,-598.5962552919809,-598.5962552919809,-598.5962552919809,-598.5962552919809
1.5165430861723446,-598.4668945855738,-598.4668945855738,-598.4668945855738,-598.4668945855738,-598.4668945855738,-598.4668945855738,-598.4668945855738,-598.4668945855738,-598.4668945855738,-598.4668945855738,-598.4668945855738
1.5167234468937876,-598.3375876634163,-598.3375876634163,-598.3375876634163,-598.3375876634163,-598.3375876634163,-598.3375876634163,-598.3375876634163,-598.3375876634163,-598.3375876634163,-598.3375876634163,-598.3375876634163
1.5169038076152304,-598.2083344159691,-598.2083344159691,-598.2083344159691,-598.2083344159691,-598.2083344159691,-598.2083344159691,-598.2083344159691,-598.2083344159691,-598.2083344159691,-598.2083344159691,-598.2083344159691
1.5170841683366731,-598.0791347336617,-598.0791347336617,-598.0791347336617,-598.0791347336617,-598.0791347336617,-598.0791347336617,-598.0791347336617,-598.0791347336617,-598.0791347336617,-598.0791347336617,-598.0791347336617
1.5172645290581162,-597.9499885069326,-597.9499885069326,-597.9499885069326,-597.9499885069326,-597.9499885069326,-597.9499885069326,-597.9499885069326,-597.9499885069326,-597.9499885069326,-597.9499885069326,-597.9499885069326
1.517444889779559,-597.820895626237,-597.820895626237,-597.820895626237,-597.820895626237,-597.820895626237,-597.820895626237,-597.820895626237,-597.820895626237,-597.820895626237,-597.820895626237,-597.820895626237
