wavl,"AS(2.50,0.00)","AS(2.60,0.00)","AS(2.70,0.00)","AS(2.80,0.00)","AS(2.90,0.00)","AS(3.00,0.00)","AS(3.10,0.00)","AS(3.20,0.00)","AS(3.30,0.00)","AS(3.40,0.00)","AS(3.50,0.00)"
1.5454008016032064,121.67431057753856,210.2543445596841,286.6032690034049,371.1185180886454,443.6536706221884,489.9167115996559,518.0152760131248,511.7678818260568,475.92271466026295,397.953098615625,283.795071589323
1.5455811623246491,121.68631759501386,211.4170736181796,289.3973480966088,376.9065674180633,454.0493590815706,505.9223242531518,542.9150099733929,548.4210378130788,525.044420957538,464.3399344838326,370.05105302411175
1.5457615230460922,121.69803928298836,212.5803011691408,292.19304903932755,382.69831397679866,464.4519529157829,521.9387586569949,567.8317859647414,585.0994665166813,574.2001386516472,530.7728891344873,456.3670927504636
1.545941883767535,121.70947568166878,213.7440274342128,294.9903723129654,388.4937587294292,474.8614538391837,537.9660174366011,592.7656080645825,621.803173934753,623.3898757799911,597.2519734324901,542.7432048870246
1.546122244488978,121.72062684708057,214.90825265671765,297.7893184250728,394.29290267780846,485.2778636065552,554.0041032681281,617.7164804075824,658.5321661323085,672.6136404543424,663.7771983249511,629.1794036469237
1.5463026052104207,121.73149281120072,216.07297705018675,300.58988784953533,400.09574677197566,495.70118391410506,570.0530187588415,642.684407049682,695.2864490835852,721.871440687539,730.348574648777,715.6757031190396
1.5464829659318635,121.74207361137668,217.23820083104965,303.39208106440424,405.9022919721842,506.1314164691439,586.1127665294703,667.6693920631224,732.0660287810606,771.1632845121396,796.966113264368,802.232117417391
1.5466633266533063,121.75236927890388,218.4039242078319,306.195898534363,411.71253922668575,516.5685629622615,602.18334917977,692.6714394937349,768.8709111874766,820.4891799260447,863.629824991373,888.848660613444
1.5468436873747495,121.7623798560179,219.57014740646537,309.00134074846767,417.5264895047375,527.012625112598,618.2647693429626,717.6905534273533,805.7011023104897,869.8491349784572,930.3397207071372,975.5253468416461
1.5470240480961923,121.77210538570624,220.7368706534496,311.8084081968145,423.3441437821765,537.4636046470691,634.3570296619368,742.7267379619352,842.5566081736583,919.2431577366222,997.0958113100442,1062.2621902581893
1.547204408817635,121.7815459007511,221.9040941629372,314.6171013510716,429.1655030139286,547.9215032655432,650.460132747776,767.779997158482,879.4374347563846,968.671256218807,1063.8981076433802,1149.0592049603026
1.547384769539078,121.79070144322634,223.0718181576296,317.42742069665803,434.9905681676008,558.3863226824017,666.574081230051,792.8503350976666,916.3435880604036,1018.1334384670092,1130.7466205773194,1235.9164050750837
1.547565130260521,121.7995720453274,224.24004284766647,320.2393667011208,440.81934019156495,568.8580645901563,682.698877710196,817.9377558272984,953.2750740523164,1067.6297124833495,1197.6413609364351,1322.8338046761705
1.547745490981964,121.80815774847554,225.4087684583701,323.05293985220146,446.6518200574437,579.3367307130245,698.8345248274843,843.0422634422637,990.2318987492196,1117.1600863285455,1264.5823396116432,1409.8114179136528
1.547925851703407,121.81645859176037,226.57799521107847,325.8681406334145,452.4880087323288,589.8223227650935,714.9810252113134,868.1638620234648,1027.2140681539986,1166.7245680471383,1331.5695674749195,1496.8492589175125
1.5481062124248497,121.8244746097388,227.74772331675968,328.6849695126157,458.32790716163663,600.3148424319613,731.1383814546721,893.3025556080697,1064.2215882196856,1216.3231656246326,1398.6030553320177,1583.947341739674
1.5482865731462925,121.83220584441688,228.9179530028906,331.5034269834382,464.1715163271215,610.8142914489206,747.3065962101768,918.4583483078592,1101.2544649846038,1265.955887146232,1465.682814103627,1671.105680563188
1.5484669338677357,121.83965233160018,230.0886844889485,334.32351352368653,470.0188371912541,621.3206715274575,763.4856721038966,943.6312442000284,1138.3127044480625,1315.6227406528078,1532.8088546572471,1758.3242895130325
1.5486472945891785,121.84681410954828,231.25991798998567,337.1452296062937,475.86987070602254,631.833984364913,779.675611744673,968.8212473395512,1175.396312582249,1365.323734152959,1599.981187824561,1845.6031826718254
1.5488276553106213,121.8536912154184,232.4316537243477,339.9685757136996,481.72461783646895,642.3542316710841,795.8764177534683,994.0283618000784,1212.5052953808738,1415.058875679531,1667.199824465788,1932.942374154059
1.549008016032064,121.86028368878236,233.60389191366585,342.7935523254506,487.5830795423519,652.8814151509328,812.0880927462285,1019.252591646677,1249.639658828488,1464.8281732545618,1734.464775426493,2020.34187805783
1.5491883767535068,121.86659156768884,234.7766327777421,345.6201599234819,493.4452567909837,663.4155365245188,828.3106393609339,1044.4939409702858,1286.7994089405222,1514.6316349381964,1801.776051597968,2107.8017085347105
1.54936873747495,121.87261488778496,235.9498765328998,348.448398987891,499.3111505487234,673.9565975049591,844.544060223808,1069.75241385104,1323.984551718965,1564.4692687731576,1869.1336638523549,2195.3218797132304
1.5495490981963926,121.87835369052436,237.1236234010192,351.2782699956458,505.18076177101534,684.5045997914963,860.7883579427291,1095.0280143436253,1361.195093135007,1614.341082766629,1936.537623017933,2282.902405671125
